Brand_ID,Brand_Name,Founded_Year,Website,Status
1,王品牛排,1993,https://www.wangsteak.com.tw/,Active
2,TASTY西堤牛排,2001,https://www.tasty.com.tw/,Active
3,陶板屋和風創作料理,2002,https://www.tokiya.com.tw/,Active
4,Oh my!原燒 日式燒肉,2004,https://www.yakiyan.com/,Active
5,聚日式鍋物,2004,https://www.giguo.com.tw/,Active
6,藝奇和牛岩板燒日本料理,2005,https://www.ikki.com.tw/,Active
7,夏慕尼 新香榭鐵板燒,2005,https://www.chamonix.com.tw/,Active
8,品田牧場,2007,https://www.pinnada.com.tw/,Active
9,石二鍋,2009,https://www.12hotpot.com.tw/,Active
10,hot 7鐵板燒,2013,https://www.hot-7.com/,Inactive
11,莆田,2015,https://www.putien.com.tw/,Active
12,青花驕 麻辣鍋,2018,https://www.chinhuajiao.com/,Active
13,享鴨 烤鴨與中華料理,2018,https://www.xiangduck.com.tw/,Active
14,12MINI快煮鍋,2018,https://www.12mini.com.tw/,Active
15,丰禾台味風格料理,2019,https://www.veggtable.com/,Active
16,THE WANG,2019,https://www.thewang.com.tw/,Inactive
17,和牛涮,2020,https://www.wagyushabu.com.tw/,Active
18,肉次方 燒肉放題,2021,https://www.powerofmeat.com.tw/,Active
19,尬鍋 台式潮鍋,2021,https://www.godguo.com.tw/,Active
20,嚮辣 和牛麻辣鍋,2022,https://www.xiangla.com.tw/,Active
21,阪前和牛鐵板燒,2022,https://www.facebook.com/itamae.tw,Active
22,初瓦 韓式料理,2022,https://www.facebook.com/truewow.official?mibextid=ZbWKwL,Active
23,就饗鐵板燒,2023,https://www.facebook.com/joxiang.official,Active
24,金咕 韓式原塊烤肉,2023,https://www.chingubbq.com.tw/,Active
25,朝粥幫 砂鍋粥與中華料理,2024,https://www.chaochoubang.com.tw/,Active
