Coupon_Record_ID,Consumption_Record_ID,Member_ID,Coupon_ID
1,2,109179,29
2,6,42788,29
3,7,76370,49
4,12,14502,29
5,13,45881,16
6,24,109942,29
7,25,27887,68
8,32,108343,29
9,34,58198,23
10,35,95400,23
11,36,74035,16
12,39,100814,38
13,42,59866,15
14,45,32946,48
15,49,83589,59
16,53,14192,29
17,54,14539,29
18,55,18697,29
19,71,52116,29
20,77,58300,48
21,78,35851,29
22,88,64784,25
23,89,5465,22
24,90,25936,9
25,92,18813,29
26,101,70018,19
27,102,59957,22
28,105,23906,2
29,108,59807,51
30,109,44919,29
31,110,30904,52
32,113,67140,50
33,115,60819,34
34,116,73360,29
35,120,78619,23
36,121,77086,23
37,122,58802,29
38,123,98567,49
39,124,31043,29
40,126,46312,46
41,127,105808,15
42,131,110024,23
43,132,14992,5
44,133,28205,37
45,134,29935,47
46,145,44542,47
47,146,52692,49
48,147,1237,29
49,150,58845,29
50,154,2807,29
51,159,81949,29
52,165,15272,27
53,168,97556,38
54,171,75314,70
55,174,100152,53
56,176,18147,37
57,179,56927,47
58,185,48929,48
59,189,24715,29
60,192,19647,70
61,201,111918,29
62,202,66151,19
63,210,48134,28
64,214,53240,10
65,217,104601,29
66,227,109799,17
67,231,105161,19
68,232,39503,48
69,243,7073,29
70,244,95726,17
71,248,101744,16
72,255,105174,8
73,263,68189,22
74,267,74790,48
75,268,61838,23
76,269,19229,24
77,271,40292,29
78,272,64820,47
79,274,41261,50
80,277,51456,68
81,278,75026,70
82,279,7924,72
83,281,100578,29
84,286,49852,9
85,291,22375,15
86,292,91041,29
87,294,34639,28
88,295,82183,22
89,297,94892,10
90,298,58623,34
91,304,78327,10
92,306,17901,34
93,307,92095,68
94,309,56252,10
95,310,9084,53
96,311,45228,48
97,313,45217,19
98,314,8247,29
99,315,86962,43
100,316,79395,29
101,317,109367,68
102,320,106966,16
103,323,31421,21
104,327,106374,29
105,332,83607,10
106,334,61775,37
107,337,28122,40
108,340,76088,18
109,342,80494,28
110,360,43773,25
111,361,66371,29
112,362,75875,59
113,364,36064,29
114,365,9928,50
115,366,87657,27
116,372,71966,68
117,373,90455,29
118,378,3060,24
119,380,22853,16
120,382,78897,23
121,387,88946,29
122,389,73491,15
123,391,45226,17
124,393,78124,29
125,395,65024,29
126,402,70539,29
127,405,91287,50
128,410,63639,15
129,411,107106,29
130,412,39586,29
131,417,63793,70
132,427,77948,23
133,428,46977,22
134,430,97325,15
135,434,103250,29
136,439,16514,68
137,443,8888,59
138,448,10983,29
139,459,104552,24
140,471,52470,29
141,472,22464,28
142,484,108959,53
143,486,99582,29
144,487,107607,22
145,494,51741,65
146,496,7094,28
147,504,17463,61
148,506,45634,38
149,507,22418,28
150,512,85999,29
151,513,87232,49
152,514,106578,21
153,515,16029,16
154,517,43803,29
155,520,14431,51
156,521,76768,16
157,523,87893,17
158,525,5195,49
159,526,72722,29
160,527,104640,10
161,528,83508,28
162,533,5413,29
163,534,40770,48
164,535,74483,29
165,536,9765,47
166,538,17150,51
167,539,45976,48
168,555,20044,28
169,558,65207,29
170,563,72802,47
171,565,95842,29
172,566,80500,27
173,567,73749,47
174,578,32824,29
175,579,105039,51
176,581,64209,27
177,583,5115,27
178,584,32108,29
179,586,88824,27
180,591,46993,29
181,592,61306,10
